HJD	Epoch	O-C	O-Cerr	Source
2418323.652	-4411	-1.7945	0.05	Szabados1991 Arch.
2418832.406	-4319	-1.7237	0.05	Szabados1991 Arch.
2421276.526	-3877	-1.4951	0.05	Szabados1991 Arch.
2426374.893	-2955	-1.0192	0.05	Szabados1991 Arch.
2428868.922	-2504	-0.644	0.05	Szabados1991 Arch.
2429631.924	-2366	-0.6669	0.05	Szabados1991 Arch.
2431556.23	-2017	-0.5107	0.05	Szabados1991 Arch.
2432556.974	-1837	-0.5457	0.05	Szabados1991 Arch.
2433801.315	-1611	-0.2671	0.05	Szabados1991 Arch.
2434304.401	-1520	-0.3352	0.05	Szabados1991 Arch.
2434326.553	-1516	-0.2999	0.05	Szabados1991 Arch.
2436809.165	-1068	-0.284	0.0046	Mitchell1964
2436831.281	-1063	-0.2841	0.02	Szabados1991 Arch.
2437588.803	-927	-0.2578	0.0044	Mitchell1964
2437633.034	-918	-0.2601	0.02	Szabados1991 Arch.
2439247.632	-626	-0.1786	0.02	Szabados1991 Arch.
2442366.081	-63	-0.1792	0.0493	Szabados1980
2442714.398	0	-0.1997	0.02	Szabados1991 Arch.
2444212.807	270	-0.1951	0.0099	Moffett1984
2444439.515	312	-0.1825	0.02	Szabados1991 Arch.
2444561.138	333	-0.2016	0.0086	Moffett1984
2444909.503	396	-0.1735	0.0024	Moffett1984
2444975.851	409	-0.1756	0.02	Szabados1991 Arch.
2447834.206	925	-0.3996	0.0233	Hipp
2448182.564	988	-0.3788	0.0213	Hipp
2448658.134	1074	-0.3171	0.0116	Hipp
2450007.16	1318	-0.4077	0.0294	Berdnikov2008
2452616.921	1790	-0.4135	0.0045	ASAS
2452965.229	1853	-0.4425	0.0065	ASAS
2453230.659	1901	-0.4128	0.003	SWASP
2453319.074	1917	-0.4646	0.0053	ASAS
2453667.41	1980	-0.4663	0.0089	ASAS
2453833.292	2010	-0.4593	0.0036	SWASP
2454032.329	2046	-0.4716	0.0028	Kelt-e
2454087.594	2056	-0.4981	0.0092	ASAS
2454187.237	2074	-0.38	0.9128	SWASP
2454380.676	2109	-0.4623	0.0028	Kelt-e
2454386.207	2110	-0.4603	0.0302	Kelt-w
2454435.921	2119	-0.5089	0.0042	ASAS
2454728.977	2172	-0.4988	0.0039	Kelt-e
2454784.245	2182	-0.5224	0.0052	ASAS
2455143.624	2247	-0.5389	0.0091	ASAS
2455514.064	2314	-0.5529	0.0123	KWS
2455862.365	2377	-0.5901	0.0148	KWS
2456210.686	2440	-0.6062	0.006	KWS
2456575.568	2506	-0.6495	0.0046	KWS
2456636.371	2517	-0.6669	0.0106	Berdnikov2015
2456769.1	2541	-0.638	0.0025	K2
2456934.93	2571	-0.6833	0.0051	KWS
2457006.769	2584	-0.7233	0.0031	ASASSN-V
2457288.767	2635	-0.7122	0.0061	KWS
2457355.102	2647	-0.7275	0.0028	ASASSN-V
2457653.663	2701	-0.7415	0.0054	KWS
2457703.416	2710	-0.751	0.0026	ASASSN-V
2458024.094	2768	-0.765	0.0041	KWS
2458057.269	2774	-0.7645	0.0043	ASASSN-V
2458400.045	2836	-0.7974	0.0051	KWS
2458405.582	2837	-0.789	0.0032	ASASSN-V
