HJD	Epoch	O-C	O-Cerr	Source
2415308.855	-9821	-0.2698	0.0429	Harvard
2415652.457	-9694	-0.2681	0.0525	Harvard
2416014.938	-9560	-0.3253	0.0362	Harvard
2416385.635	-9423	-0.2826	0.0414	Harvard
2416742.779	-9291	-0.266	0.045	Harvard
2417097.182	-9160	-0.2855	0.0278	Harvard
2417473.251	-9021	-0.2819	0.0436	Harvard
2417906.18	-8861	-0.2348	0.0434	Harvard
2418206.478	-8750	-0.2482	0.038	Harvard
2418574.455	-8614	-0.2203	0.0428	Harvard
2418961.292	-8471	-0.2715	0.0397	Harvard
2419307.67	-8343	-0.1987	0.0369	Harvard
2419683.681	-8204	-0.2539	0.0234	Harvard
2420075.97	-8059	-0.2632	0.0439	Harvard
2420438.477	-7925	-0.2945	0.0321	Harvard
2420771.222	-7802	-0.3278	0.0636	Harvard
2421163.66	-7657	-0.1882	0.0375	Harvard
2421515.342	-7527	-0.2228	0.0286	Harvard
2421923.857	-7376	-0.2399	0.0992	Harvard
2422237.785	-7260	-0.1516	0.045	Harvard
2422589.486	-7130	-0.1669	0.0359	Harvard
2423319.899	-6860	-0.2409	0.0714	Harvard
2424063.96	-6585	-0.1953	0.0378	Harvard
2424415.683	-6455	-0.1882	0.049	Harvard
2424802.614	-6312	-0.1453	0.0331	Harvard
2425159.785	-6180	-0.1017	0.0378	Harvard
2425506.229	-6051	0.0372	0.1	Szabados1977 Arch.
2425527.671	-6044	-0.1649	0.0407	Harvard
2425643.955	-6000	-0.2178	0.1	Szabados1977 Arch.
2425887.492	-5911	-0.1776	0.0478	Harvard
2425974.335	-5878	0.0899	0.1	Szabados1977 Arch.
2426239.221	-5781	-0.1646	0.0306	Harvard
2426406.895	-5718	-0.2317	0.1	Szabados1977 Arch.
2426612.563	-5643	-0.1828	0.04	Harvard
2426977.806	-5508	-0.1838	0.0465	Harvard
2427123.985	-5453	-0.1018	0.1	Szabados1977 Arch.
2427345.783	-5372	-0.1561	0.0478	Harvard
2427397.165	-5352	-0.1783	0.1	Szabados1977 Arch.
2427516.435	-5308	0.0492	0.1	Szabados1977 Arch.
2427719.174	-5234	-0.1257	0.0303	Harvard
2427849.075	-5185	-0.0885	0.1	Szabados1977 Arch.
2427862.805	-5180	0.114	0.1	Szabados1977 Arch.
2427892.356	-5169	-0.0956	0.07	Szabados1977 Arch.
2427913.945	-5161	-0.1507	0.1	Szabados1977 Arch.
2428078.955	-5101	-0.1775	0.0424	Harvard
2428206.495	-5053	0.2042	0.3	Szabados1977 Arch.
2428260.272	-5033	-0.129	0.07	Szabados1977 Arch.
2428452.347	-4963	-0.146	0.042	Harvard
2428547.005	-4927	-0.1801	0.1	Szabados1977 Arch.
2428817.599	-4828	-0.1372	0.038	Harvard
2429193.667	-4689	-0.1351	0.0329	Harvard
2429229.065	-4675	0.0914	0.1	Szabados1977 Arch.
2429312.91	-4644	0.0656	0.1	Szabados1977 Arch.
2429518.291	-4569	-0.172	0.0339	Harvard
2429629.325	-4527	-0.0641	0.1	Szabados1977 Arch.
2429667.177	-4513	-0.0892	0.07	Szabados1977 Arch.
2429899.828	-4428	-0.1124	0.0421	Harvard
2429943.205	-4411	-0.0232	0.1	Szabados1977 Arch.
2429989.108	-4394	-0.1139	0.07	Szabados1977 Arch.
2430248.786	-4299	-0.1651	0.033	Harvard
2430346.215	-4262	-0.1342	0.1	Szabados1977 Arch.
2430592.366	-4172	-0.1851	0.0552	Harvard
2430698.125	-4132	0.0595	0.1	Szabados1977 Arch.
2430789.975	-4098	-0.0779	0.1	Szabados1977 Arch.
2431000.939	-4021	-0.1441	0.0342	Harvard
2431049.745	-4002	-0.0368	0.1	Szabados1977 Arch.
2431325.593	-3901	-0.1517	0.0552	Harvard
2431466.355	-3848	-0.0754	0.1	Szabados1977 Arch.
2431707.079	-3760	-0.1418	0.0538	Harvard
2431985.774	-3656	-0.1143	0.07	Szabados1977 Arch.
2432061.51	-3629	-0.1326	0.0297	Harvard
2432188.565	-3581	-0.2365	0.1	Szabados1977 Arch.
2432424.061	-3495	-0.1201	0.0425	Harvard
2432794.717	-3358	-0.1192	0.0574	Harvard
2433157.247	-3224	-0.1279	0.0502	Harvard
2433306.075	-3168	-0.1022	0.1	Szabados1977 Arch.
2433536.033	-3084	-0.1127	0.0371	Harvard
2433657.855	-3038	-0.0385	0.1	Szabados1977 Arch.
2433928.282	-2939	-0.1626	0.034	Harvard
2433933.705	-2936	-0.1505	0.1	Szabados1977 Arch.
2434301.69	-2801	-0.1148	0.0688	Harvard
2434307.195	-2798	-0.0209	0.1	Szabados1977 Arch.
2434688.52	-2658	-0.1728	0.0517	Harvard
2434777.985	-2624	0.0104	0.1	Szabados1977 Arch.
2435061.985	-2519	-0.0681	0.1	Szabados1977 Arch.
2435143.156	-2489	-0.0624	0.07	Szabados1977 Arch.
2435145.805	-2488	-0.119	0.1	Szabados1977 Arch.
2435394.665	-2396	-0.1659	0.1	Szabados1977 Arch.
