HJD	Epoch	O-C	O-Cerr	Source
2405471.016	-1417	20.6972	0.047	Burnashev2009
2405795.187	-1405	20.483	0.0915	Burnashev2009
2406173.189	-1391	20.0354	0.048	Burnashev2009
2406524.391	-1378	19.8201	0.1873	Burnashev2009
2425302.27	-684	7.5218	0.1	Szabados1991 Arch.
2432784.039	-407	4.2712	0.0769	Mitchell1964
2432840.908	-405	4.205	0.04	Szabados1991 Arch.
2435161.635	-319	3.0425	0.1741	Mitchell1964
2435191.449	-318	2.9537	0.04	Szabados1991 Arch.
2435488.134	-307	2.2856	0.04	Szabados1991 Arch.
2435512.116	-306	2.1065	0.1287	Mitchell1964
2436998.872	-251	2.0966	0.216	Mitchell1964
2437056.133	-249	2.423	0.04	Szabados1991 Arch.
2437974.56	-215	1.7588	0.06	Szabados1991 Arch.
2438758.533	-186	1.801	0.02	Szabados1991 Arch.
2439352.984	-164	1.5459	0.06	Szabados1991 Arch.
2439812.386	-147	1.4022	0.02	Szabados1991 Arch.
2440836.191	-109	0.8579	0.221	Pel1976
2440892.759	-107	0.4914	0.04	Szabados1991 Arch.
2440919.687	-106	0.3873	0.02	Szabados1991 Arch.
2441001.207	-103	0.811	0.06	Szabados1991 Arch.
2441187.102	-96	0.3523	0.1582	AAVSO
2441538.204	-83	0.0368	0.0546	AAVSO
2441730.626	-76	0.3634	0.02	Szabados1991 Arch.
2441757.17	-75	-0.1247	0.02	Szabados1991 Arch.
2441916.666	-69	0.05	0.051	AAVSO
2442267.944	-56	-0.0893	0.0631	AAVSO
2442567.909	-45	-0.3486	0.02	Szabados1991 Arch.
2442619.353	-43	-0.0983	0.0524	AAVSO
2442997.432	-29	-0.4678	0.0576	AAVSO
2443375.96	-15	-0.3892	0.0652	AAVSO
2443402.976	-14	-0.4055	0.0751	Moffett1984
2443513.475	-10	-0.9059	0.02	Szabados1991 Arch.
2443754.115	-1	-0.6835	0.0733	AAVSO
2443781.737	0	-0.0943	0.0786	Szabados1981
2443784.184	0	-0.5179	0.02	Szabados1991 Arch.
2443808.224	1	-0.6392	0.1454	Moffett1984
2443810.773	-1	-0.961	0.02	Szabados1991 Arch.
2444081.479	-11	-0.5759	0.02	Szabados1991 Arch.
2444105.319	12	-0.8977	0.1114	AAVSO
2444131.973	13	-1.2752	0.6514	Coulson1985
2444456.696	25	-0.937	0.073	AAVSO
2444537.461	28	-1.2684	0.1539	Coulson1985
2444702.532	-34	-1.2611	0.02	Szabados1991 Arch.
2444835.258	39	-0.825	0.0618	AAVSO
2444888.862	41	-1.2854	0.1101	Coulson1985
2445186.474	52	-1.0261	0.0664	AAVSO
2445564.909	66	-1.0399	0.069	AAVSO
2445645.799	69	-1.2471	0.1468	Berdnikov2008
2445702.336	-71	-1.6447	0.02	Szabados1991 Arch.
2445916.329	79	-1.0381	0.0547	AAVSO
2446294.687	93	-1.129	0.0565	AAVSO
2446646.386	106	-0.8471	0.0716	AAVSO
2446997.642	119	-1.0085	0.0723	AAVSO
2447375.814	133	-1.2855	0.1315	AAVSO
2447403.052	134	-1.0796	0.038	Berdnikov2008
2447754.379	147	-1.1702	0.1022	AAVSO
2448106.121	160	-0.8459	0.0599	AAVSO
2448484.217	174	-1.1991	0.0306	Berdnikov2008
2448484.708	174	-0.7075	0.0797	AAVSO
2448862.652	188	-1.213	0.0297	Berdnikov2008
2448862.758	188	-1.1074	0.0985	AAVSO
2449214.013	201	-1.269	0.0944	AAVSO
2449565.56	214	-1.1398	0.0794	AAVSO
2449619.606	216	-1.1577	0.032	Berdnikov2008
2449944.013	228	-1.1358	0.0727	AAVSO
2450322.402	242	-1.1962	0.0584	Berdnikov2008
2450322.432	242	-1.166	0.0566	AAVSO
