HJD	Epoch	O-C	O-Cerr	Source
2415474.279	-6798	0.045	0.05	Szabados1977 Arch.
2415736.67	-6730	-0.0102	0.05	Szabados1977 Arch.
2416215.288	-6606	0.0296	0.05	Szabados1977 Arch.
2416253.81	-6596	-0.0434	0.05	Szabados1977 Arch.
2416466.139	-6541	0.013	0.1	Szabados1977 Arch.
2416755.472	-6467	-0.1164	0.1272	Harvard
2417114.578	-6373	0.056	0.1138	Harvard
2417639.353	-6237	-0.0616	0.05	Szabados1977 Arch.
2417944.249	-6158	-0.0663	0.05	Szabados1977 Arch.
2418245.403	-6080	0.0472	0.0888	Harvard
2418445.986	-6028	-0.0646	0.05	Szabados1977 Arch.
2419306.63	-5806	-0.0894	0.1231	Harvard
2419322.112	-5801	-0.0455	0.05	Szabados1977 Arch.
2419866.477	-5660	0.1297	0.1	Szabados1977 Arch.
2420433.641	-5514	-0.0525	0.1403	Harvard
2420599.694	-5470	0.0413	0.1	Szabados1977 Arch.
2420804.069	-5418	-0.1372	0.2333	Harvard
2420981.684	-5371	-0.0594	0.1	Szabados1977 Arch.
2421139.968	-5330	-0.015	0.05	Szabados1977 Arch.
2421163.103	-5325	-0.0363	0.131	Harvard
2421166.907	-5323	-0.0925	0.03	Szabados1977 Arch.
2421502.396	-5237	-0.3793	0.2783	Harvard
2421857.738	-5145	-0.1114	0.0759	Harvard
2422162.735	-5065	-0.016	0.05	Szabados1977 Arch.
2422170.423	-5063	-0.047	0.03	Szabados1977 Arch.
2422564.052	-4961	-0.0872	0.05	Szabados1977 Arch.
2422583.373	-4957	-0.0632	0.0505	Harvard
2422676.039	-4932	-0.0257	0.05	Szabados1977 Arch.
2422760.874	-4910	-0.0998	0.1	Szabados1977 Arch.
2422926.858	-4868	-0.0735	0.0494	Harvard
2423042.671	-4837	-0.0464	0.05	Szabados1977 Arch.
2423355.254	-4756	-0.0831	0.05	Szabados1977 Arch.
2423502.11	-4718	0.1118	0.05	Szabados1977 Arch.
2423594.427	-4694	-0.1992	0.05	Szabados1977 Arch.
2424428.157	-4479	-0.1212	0.0554	Harvard
2425134.467	-4296	-0.0998	0.0378	Harvard
2425501.068	-4201	-0.152	0.0414	Harvard
2425840.749	-4113	-0.1065	0.0554	Harvard
2426164.975	-4028	-0.0796	0.05	Szabados1977 Arch.
2426234.496	-4010	-0.0296	0.05	Szabados1977 Arch.
2426249.788	-4007	-0.1748	0.0514	Harvard
2426597.219	-3917	-0.099	0.0667	Harvard
2426963.866	-3822	-0.1054	0.0512	Harvard
2427334.369	-3726	-0.1146	0.0395	Harvard
2428098.498	-3528	-0.1669	0.0404	Harvard
2428449.711	-3437	-0.1684	0.0789	Harvard
2428785.452	-3350	-0.2036	0.0658	Harvard
2429190.592	-3245	-0.3116	0.2201	Harvard
2429564.983	-3148	-0.2923	0.2056	Harvard
2429916.376	-3057	-0.1143	0.0379	Harvard
2430244.377	-2971	-0.1712	0.1	Szabados1977 Arch.
2430282.962	-2962	-0.1806	0.0682	Harvard
2430622.703	-2874	-0.0755	0.0699	Harvard
2430784.984	-2831	0.1056	0.1	Szabados1977 Arch.
2431031.679	-2768	-0.2068	0.086	Harvard
2431348.184	-2686	-0.1814	0.0441	Harvard
2432066.175	-2500	-0.0574	0.0734	Harvard
2436809.485	-1271	-0.0757	0.0062	Mitchell1964
2436832.676	-1264	-0.0421	0.01	Szabados1977 Arch.
2436844.228	-1261	-0.0686	0.03	Szabados1977 Arch.
2439360.643	-609	-0.0489	0.01	Szabados1977 Arch.
2441290.43	-110	-0.0129	0.0095	Szabados1977
2441714.944	0	-0.0441	0.01	Szabados1977 Arch.
2441981.288	68	-0.0052	0.025	Szabados1977
2447928.768	1609	-0.0181	0.0083	Hipp
2448310.865	1708	-0.012	0.0323	Hipp
2448658.251	1799	0.019	0.0066	Hipp
2450329.411	2232	0.0151	0.0466	Berdnikov2008
2454019.119	3188	0.0387	0.0247	SWASP
2454370.361	3279	0.0659	0.0301	SWASP
2456195.905	3752	0.066	0.0116	KWS
2456550.983	3844	0.07	0.0145	KWS
2456682.21	3878	0.074	0.0158	ASASSN-V
2456929.241	3942	0.0969	0.0131	KWS
2456979.398	3955	0.0798	0.0119	ASASSN-V
2457276.581	4032	0.081	0.0152	ASASSN-V
2457292.026	4036	0.0881	0.0166	KWS
2457604.633	4117	0.0757	0.0144	ASASSN-V
2457631.685	4124	0.1115	0.017	KWS
2457971.302	4212	0.0923	0.0118	ASASSN-V
2458017.601	4224	0.077	0.0391	ASASSN-g
2458021.498	4225	0.1141	0.0159	KWS
2458334.101	4306	0.0977	0.01	ASASSN-V
2458345.702	4309	0.1203	0.033	ASASSN-g
2458403.592	4324	0.1177	0.0143	KWS
2458708.466	4403	0.091	0.0249	ASASSN-g
2458758.669	4416	0.1202	0.0152	KWS
