HJD	Epoch	O-C	O-Cerr	Source
2444071.09	-3593	-0.1425	0.0176	Eggen1985
2445056.895	-3182	0.0336	0.0384	Eggen1985
2447874.681	-2007	0.0254	0.0053	Hipp
2448263.233	-1845	0.0816	0.0048	Hipp
2448610.923	-1700	0.0436	0.0067	Hipp
2449009.098	-1534	0.1305	0.0105	Hipp
2451620.563	-445	0.0393	0.0027	Berdnikov2008
2452438.294	-104	0.0106	0.0048	ASAS
2452785.979	41	-0.0327	0.0031	ASAS
2453059.325	155	-0.0729	0.0035	IOMC
2453133.691	186	-0.048	0.005	ASAS
2453431.107	310	0.0004	0.017	IOMC
2453481.441	331	-0.0263	0.0136	ASAS
2453778.809	455	-0.026	0.0053	IOMC
2453831.561	477	-0.0325	0.0034	ASAS
2454126.543	600	-0.0195	0.0048	IOMC
2454179.289	622	-0.0323	0.0069	ASAS
2454527.037	767	-0.012	0.0029	ASAS
2454874.758	912	-0.0185	0.0084	ASAS
2456898.803	1756	0.0101	0.002	Gaia-dr2
2457256.126	1905	0.0131	0.0015	Gaia-dr2
2457457.553	1989	-0.0022	0.0107	ASASSN-V
2457805.312	2134	0.0287	0.0088	ASASSN-V
2458157.791	2281	-0.0166	0.007	ASASSN-V
2458282.491	2333	-0.0184	0.0067	ASASSN-g
2458630.245	2478	0.0076	0.0071	ASASSN-g
2458977.901	2623	-0.0643	0.0126	ASASSN-g
